FULL NAME,TEAM
Precious Achiuwa,Mia
Jaylen Adams,Mil
Steven Adams,Nor
Bam Adebayo,Mia
LaMarcus Aldridge,San
Ty-Shon Alexander,Pho
Nickeil Alexander-Walker,Nor
Grayson Allen,Mem
Jarrett Allen,Bro
Jarrett Allen,Cle
Al-Farouq Aminu,Orl
Kyle Anderson,Mem
Giannis Antetokounmpo,Mil
Kostas Antetokounmpo,Lal
Thanasis Antetokounmpo,Mil
Carmelo Anthony,Por
Cole Anthony,Orl
OG Anunoby,Tor
Ryan Arcidiacono,Chi
D.J. Augustin,Mil
Deni Avdija,Was
Deandre Ayton,Pho
Udoka Azubuike,Uta
Dwayne Bacon,Orl
Marvin Bagley III,Sac
LaMelo Ball,Cha
Lonzo Ball,Nor
Mo Bamba,Orl
Desmond Bane,Mem
Harrison Barnes,Sac
RJ Barrett,Nyk
Will Barton,Den
Keita Bates-Diop,San
Nicolas Batum,Lac
Aron Baynes,Tor
Kent Bazemore,Gol
Darius Bazley,Okc
Bradley Beal,Was
Malik Beasley,Min
Jordan Bell,Was
DeAndre' Bembry,Tor
Davis Bertans,Was
Patrick Beverley,Lac
Saddiq Bey,Det
Tyler Bey,Dal
Khem Birch,Orl
Goga Bitadze,Ind
Bismack Biyombo,Cha
Nemanja Bjelica,Sac
Eric Bledsoe,Nor
Keljin Blevins,Por
Bojan Bogdanovic,Uta
Bogdan Bogdanovic,Atl
Bol Bol,Den
Marques Bolden,Cle
Jordan Bone,Orl
Isaac Bonga,Was
Devin Booker,Pho
Chris Boucher,Tor
Brian Bowen II,Ind
Avery Bradley,Mia
Tony Bradley,Phi
Jarrell Brantley,Uta
Ignas Brazdeikis,Nyk
Miles Bridges,Cha
Mikal Bridges,Pho
Malcolm Brogdon,Ind
Dillon Brooks,Mem
Troy Brown Jr.,Was
Bruce Brown,Bro
Jaylen Brown,Bos
Moses Brown,Okc
Sterling Brown,Hou
Jalen Brunson,Dal
Thomas Bryant,Was
Reggie Bullock,Nyk
Trey Burke,Dal
Alec Burks,Nyk
Jimmy Butler,Mia
Bruno Caboclo,Hou
Devontae Cacok,Lal
Kentavious Caldwell-Pope,Lal
Facundo Campazzo,Den
Vlatko Cancar,Den
Clint Capela,Atl
Vernon Carey Jr.,Cha
Wendell Carter Jr.,Chi
Jevon Carter,Pho
Michael Carter-Williams,Orl
Alex Caruso,Lal
Willie Cauley-Stein,Dal
Chris Chiozza,Bro
Marquese Chriss,Gol
Brandon Clarke,Mem
Gary Clark,Orl
Jordan Clarkson,Uta
Nicolas Claxton,Bro
Amir Coffey,Lac
John Collins,Atl
Mike Conley,Uta
Pat Connaughton,Mil
Quinn Cook,Lal
Tyler Cook,Bro
DeMarcus Cousins,Hou
Robert Covington,Por
Torrey Craig,Mil
Jae Crowder,Pho
Jarrett Culver,Min
Seth Curry,Phi
Stephen Curry,Gol
Anthony Davis,Lal
Ed Davis,Min
Terence Davis,Tor
DeMar DeRozan,San
Hamidou Diallo,Okc
Gorgui Dieng,Mem
Spencer Dinwiddie,Bro
Donte DiVincenzo,Mil
Luka Doncic,Dal
Luguentz Dort,Okc
Damyean Dotson,Cle
Devon Dotson,Chi
Sekou Doumbouya,Det
PJ Dozier,Den
Goran Dragic,Mia
Andre Drummond,Cle
Jared Dudley,Lal
Kevin Durant,Bro
Anthony Edwards,Min
Carsen Edwards,Bos
CJ Elleby,Por
Wayne Ellington,Det
Joel Embiid,Phi
James Ennis III,Orl
Drew Eubanks,San
Dante Exum,Cle
Tacko Fall,Bos
Derrick Favors,Uta
Cristiano Felicio,Chi
Terrance Ferguson,Phi
Bruno Fernando,Atl
Yogi Ferrell,Cle
Dorian Finney-Smith,Dal
Malachi Flynn,Tor
Bryn Forbes,Mil
Trent Forrest,Uta
Evan Fournier,Orl
De'Aaron Fox,Sac
Tim Frazier,Mem
Markelle Fultz,Orl
Wenyen Gabriel,Nor
Daniel Gafford,Chi
Danilo Gallinari,Atl
Langston Galloway,Pho
Darius Garland,Cle
Marc Gasol,Lal
Rudy Gay,San
Paul George,Lac
Taj Gibson,Nyk
Harry Giles III,Por
Shai Gilgeous-Alexander,Okc
Anthony Gill,Was
Rudy Gobert,Uta
Brandon Goodwin,Atl
Aaron Gordon,Orl
Eric Gordon,Hou
Devonte' Graham,Cha
Jerami Grant,Det
Danny Green,Phi
Draymond Green,Gol
JaMychal Green,Den
Javonte Green,Bos
Jeff Green,Bro
Josh Green,Dal
Blake Griffin,Det
Kyle Guy,Sac
Rui Hachimura,Was
Ashton Hagans,Min
Tyrese Haliburton,Sac
Josh Hall,Okc
R.J. Hampton,Den
Tim Hardaway Jr.,Dal
James Harden,Hou
James Harden,Bro
Maurice Harkless,Mia
Jared Harper,Nyk
Montrezl Harrell,Lal
Gary Harris,Den
Jalen Harris,Tor
Joe Harris,Bro
Shaquille Harrison,Uta
Tobias Harris,Phi
Isaiah Hartenstein,Den
Josh Hart,Nor
Jaxson Hayes,Nor
Killian Hayes,Det
Gordon Hayward,Cha
Juancho Hernangomez,Min
Willy Hernangomez,Nor
Tyler Herro,Mia
Buddy Hield,Sac
George Hill,Okc
Solomon Hill,Atl
Nate Hinton,Dal
Aaron Holiday,Ind
Jrue Holiday,Mil
Justin Holiday,Ind
Richaun Holmes,Sac
Rodney Hood,Por
Al Horford,Okc
Talen Horton-Tucker,Lal
Danuel House Jr.,Hou
Dwight Howard,Phi
Markus Howard,Den
Kevin Huerter,Atl
Elijah Hughes,Uta
De'Andre Hunter,Atl
Chandler Hutchison,Chi
Serge Ibaka,Lac
Andre Iguodala,Mia
Joe Ingles,Uta
Brandon Ingram,Nor
Kyrie Irving,Bro
Wes Iwundu,Dal
Frank Jackson,Det
Josh Jackson,Det
Justin Jackson,Okc
Reggie Jackson,Lac
Justin James,Sac
LeBron James,Lal
DaQuan Jeffries,Sac
Ty Jerome,Okc
Isaiah Joe,Phi
Cameron Johnson,Pho
James Johnson,Dal
Keldon Johnson,San
Stanley Johnson,Tor
Tyler Johnson,Bro
Nikola Jokic,Den
Derrick Jones Jr.,Por
Damian Jones,Pho
Damian Jones,Lal
Mason Jones,Hou
Tre Jones,San
Tyus Jones,Mem
DeAndre Jordan,Bro
Cory Joseph,Sac
Mfiondu Kabengele,Lac
Frank Kaminsky,Pho
Enes Kanter,Por
Luke Kennard,Lac
Maxi Kleber,Dal
Nathan Knight,Atl
Kevin Knox II,Nyk
John Konchar,Mem
Furkan Korkmaz,Phi
Luke Kornet,Chi
Rodions Kurucs,Bro
Rodions Kurucs,Hou
Kyle Kuzma,Lal
Jeremy Lamb,Ind
Zach LaVine,Chi
Jake Layman,Min
Jalen Lecque,Ind
Damion Lee,Gol
Saben Lee,Det
Alex Len,Tor
Alex Len,Was
Kawhi Leonard,Lac
Meyers Leonard,Mia
Caris LeVert,Bro
Kira Lewis Jr.,Nor
Damian Lillard,Por
Nassir Little,Por
Kevon Looney,Gol
Brook Lopez,Mil
Robin Lopez,Was
Kevin Love,Cle
Kyle Lowry,Tor
Timothe Luwawu-Cabarrot,Bro
Trey Lyles,San
Thon Maker,Cle
Theo Maledon,Okc
Karim Mane,Orl
Nico Mannion,Gol
Terance Mann,Lac
Boban Marjanovic,Dal
Lauri Markkanen,Chi
Naji Marshall,Nor
Kenyon Martin Jr.,Hou
Caleb Martin,Cha
Cody Martin,Cha
Kelan Martin,Ind
Frank Mason,Orl
Garrison Mathews,Was
Dakota Mathias,Phi
Wesley Matthews,Lal
Tyrese Maxey,Phi
Skylar Mays,Atl
Patrick McCaw,Tor
CJ McCollum,Por
T.J. McConnell,Ind
Jalen McDaniels,Cha
Jaden McDaniels,Min
Doug McDermott,Ind
Sean McDermott,Mem
JaVale McGee,Cle
Rodney McGruder,Det
Alfonzo McKinnie,Lal
Jordan McLaughlin,Min
Ben McLemore,Hou
Nicolo Melli,Nor
De'Anthony Melton,Mem
Sam Merrill,Mil
Chimezie Metu,Sac
Khris Middleton,Mil
Darius Miller,Okc
Paul Millsap,Den
Patty Mills,San
Shake Milton,Phi
Donovan Mitchell,Uta
Adam Mokoka,Chi
Malik Monk,Cha
E'Twaun Moore,Pho
Ja Morant,Mem
Juwan Morgan,Uta
Marcus Morris Sr.,Lac
Markieff Morris,Lal
Monte Morris,Den
Mychal Mulder,Gol
Dejounte Murray,San
Jamal Murray,Den
Mike Muscala,Okc
Svi Mykhailiuk,Det
Abdel Nader,Pho
Larry Nance Jr.,Cle
Aaron Nesmith,Bos
Raul Neto,Was
Georges Niang,Uta
Zeke Nnaji,Den
Nerlens Noel,Nyk
Jaylen Nowell,Min
Frank Ntilikina,Nyk
Kendrick Nunn,Mia
Jusuf Nurkic,Por
David Nwaba,Hou
Jordan Nwora,Mil
Semi Ojeleye,Bos
Jahlil Okafor,Det
Chuma Okeke,Orl
Josh Okogie,Min
Onyeka Okongwu,Atl
Isaac Okoro,Cle
KZ Okpala,Mia
Victor Oladipo,Ind
Victor Oladipo,Hou
Kelly Olynyk,Mia
Royce O'Neale,Uta
Miye Oni,Uta
Cedi Osman,Cle
Daniel Oturu,Lac
Kelly Oubre Jr.,Gol
Jabari Parker,Sac
Eric Paschall,Gol
Anzejs Pasecniks,Was
Patrick Patterson,Lac
Justin Patton,Hou
Chris Paul,Pho
Cameron Payne,Pho
Elfrid Payton,Nyk
Norvel Pelle,Bro
Norvel Pelle,Sac
Reggie Perry,Bro
Theo Pinson,Nyk
Mason Plumlee,Det
Jakob Poeltl,San
Vincent Poirier,Phi
Aleksej Pokusevski,Okc
Jordan Poole,Gol
Michael Porter Jr.,Den
Otto Porter Jr.,Chi
Bobby Portis,Mil
Kristaps Porzingis,Dal
Dwight Powell,Dal
Norman Powell,Tor
Taurean Prince,Bro
Taurean Prince,Cle
Payton Pritchard,Bos
Immanuel Quickley,Nyk
Jahmi'us Ramsey,Sac
Chasson Randle,Orl
Julius Randle,Nyk
Cam Reddish,Atl
JJ Redick,Nor
Paul Reed,Phi
Naz Reid,Min
Nick Richards,Cha
Josh Richardson,Dal
Austin Rivers,Nyk
Andre Roberson,Bro
Glenn Robinson III,Sac
Duncan Robinson,Mia
Jerome Robinson,Was
Mitchell Robinson,Nyk
Isaiah Roby,Okc
Rajon Rondo,Atl
Derrick Rose,Det
Derrick Rose,Nyk
Terrence Ross,Orl
Terry Rozier,Cha
Ricky Rubio,Min
D'Angelo Russell,Min
Domantas Sabonis,Ind
Luka Samanic,San
JaKarr Sampson,Ind
Dario Saric,Pho
Tomas Satoransky,Chi
Dennis Schroder,Lal
Mike Scott,Phi
Collin Sexton,Cle
Landry Shamet,Bro
Iman Shumpert,Bro
Pascal Siakam,Tor
Chris Silva,Mia
Ben Simmons,Phi
Anfernee Simons,Por
Deividas Sirvydis,Det
Marcus Smart,Bos
Dennis Smith Jr.,Nyk
Dennis Smith Jr.,Det
Ish Smith,Was
Jalen Smith,Pho
Tony Snell,Atl
Ray Spalding,Hou
Cassius Stanley,Ind
Lamar Stevens,Cle
Isaiah Stewart,Det
Max Strus,Mia
Edmond Sumner,Ind
Jae'Sean Tate,Hou
Jayson Tatum,Bos
Jeff Teague,Bos
Garrett Temple,Chi
Tyrell Terry,Dal
Daniel Theis,Bos
Brodric Thomas,Hou
Matt Thomas,Tor
Tristan Thompson,Bos
Sindarius Thornwell,Nor
Matisse Thybulle,Phi
Killian Tillie,Mem
Xavier Tillman,Mem
Obi Toppin,Nyk
Juan Toscano-Anderson,Gol
Karl-Anthony Towns,Min
Gary Trent Jr.,Por
P.J. Tucker,Hou
Myles Turner,Ind
Jonas Valanciunas,Mem
Denzel Valentine,Chi
Jarred Vanderbilt,Min
Fred VanVleet,Tor
Devin Vassell,San
Gabe Vincent,Mia
Noah Vonleh,Bro
Nikola Vucevic,Orl
Dean Wade,Cle
Moritz Wagner,Was
Lonnie Walker IV,San
Kemba Walker,Bos
John Wall,Hou
Brad Wanamaker,Gol
T.J. Warren,Ind
P.J. Washington,Cha
Yuta Watanabe,Tor
Tremont Waters,Bos
Paul Watson,Tor
Quinndary Weatherspoon,San
Russell Westbrook,Was
Coby White,Chi
Derrick White,San
Hassan Whiteside,Sac
Greg Whittington,Den
Andrew Wiggins,Gol
Robert Williams III,Bos
Grant Williams,Bos
Kenrich Williams,Okc
Lou Williams,Lac
Zion Williamson,Nor
Patrick Williams,Chi
D.J. Wilson,Mil
Dylan Windler,Cle
Justise Winslow,Mem
Cassius Winston,Was
James Wiseman,Gol
Robert Woodard II,Sac
Christian Wood,Hou
Delon Wright,Det
Thaddeus Young,Chi
Trae Young,Atl
Cody Zeller,Cha
Ivica Zubac,Lac
